id,status,votes,title,avg_age,polarity,budget,point/cost,points,category,level,district,detailed_localization,description,attachments
780,wycofany,,Poprawa bezpieczeństwa przejazdu i przejścia ulicą Artura Młodnickiego we Wrocławiu - budowa fragmentu drogi wraz z infrastrukturą towarzyszącą .  ,0,0,150000,37500.0,4,drogowe,do 150 tys. zł,Ołbin,"4 AM2 Obręb Plac Grunwaldzki, 5/2 AM2 Obręb Plac Grunwaldzki","Celem projektu jest poprawa bezpieczeństwa przejazdu i przejścia ulicą Artura Młodnickiego we Wrocławiu, poprzez:
- zwiększenie jej szerokości (w zakresie działek 4 i 5/2),
- wymianę nawierzchni oraz wykonaniu jej obramowania (z krawężników lub obrzeży)
- budowę chodników (w miarę możliwości) lub zmiany typu drogi na pieszo-jezdną,
- budowę odwodnienia ulicy (kanalizacja deszczowa – wpięcie do istniejącej kanalizacji ogólno spławnej),
- instalację oświetlenia (latarni ulicznych),
- zabezpieczenia sąsiadującej z ulicą skarpy przed osuwaniem oraz drzew przed zwaleniem (wszystkie powyższe w zakresie działki nr 4). ","[['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/780/c5484f96d2bdb84ebd039f23f0c7778d.pdf', '\n\n\nZałącznik nr 1\n\n']]"
87,niewybrany,246,Plac zabaw „Kolorowa Śliwowa” ,40.5894308943,5,250000,250000.0,1,place zabaw,150 tys. zł - 500 tys. zł,Maślice,"Dz. Nr 5, AM-18 Obr. Maślice.","W trosce o rozwój emocjonalny, fizyczny oraz socjalny namłodszego pokolenia proponujemy utworzyć na polanie w Lasie Komunalnym przy Alei Śliwowej we Wrocławiu plac zabaw „Kolorowa Śliwowa”.
Zabawa dzieci na nowoczesnym i bezpiecznym placu zabaw to najlepszy moment, aby poznać nowych rówieśników i miło spędzić z nimi wolny czas. To także doskonałe miejsce dla integracji rodziców opiekujących się dziećmi.
Plac zabaw w tej lokalizacji jest niezbędny, gdyż dla mieszkających w pobliżu dzieci nie ma żadnego ogólnodostępnego miejsca, gdzie mogłyby się aktywnie bawić na powietrzu w bezpiecznych warunkach. 
W bezpośrednim sąsiedztwie Lasu Komunalnego przy Alei Śliwowej powstają nowe inwestycje mieszkaniowe zamieszkałe głównie przez rodziny z małymi dziećmi. W roku 2012 powstało jedno osiedle, aktualnie budowane są przy tej ulicy dwa kolejne budynki mieszkalne wielolokalowe. Również przy sąsiedniej ulicy Rędzińskiej wznoszone są nowe domy w zabudowie szeregowej. Inwestycje te oznaczają rosnącą liczbę dzieci w okolicy i tym samym potrzebę stworzenia dla nich komfortowego miejsca do spotkań i zabaw.
Proponowany plac zabaw służyć będzie również pozostałym mieszkańcom Maślic i innych rejonów Wrocławia, którzy w okolice Lasu Komunalnego dotrą rowerami.
Plac zabaw umożliwi młodszym dzieciom podejmowanie aktywności sprzyjającej ich rozwojowi fizycznemu i socjalnemu. Myśląc o zdrowym rozwoju naszych dzieci i o ich przyszłości, chcielibyśmy dać im możliwość aktywnego spędzania czasu w przyjaznym i bezpiecznym otoczeniu.","[['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/87/b0ee4a3c639594ce1f5d702812fea037.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/87/26980c364608b646eb7a837351b8bb9d.pdf', '\n\n\nZałącznik nr 2\n\n']]"
466,niewybrany,58,Budowa drogi docelowej wraz z odwodnieniem i oświetleniem ,39.0689655172,-4,900000,900000.0,1,drogowe,od 500 tys. zł,Karłowice-Różanka,Wrocław ul. Zawalna działka nr 80,"Z inicjatywy mieszkańców przy ul. Zawalnej we Wrocławiu zgłaszamy „NOWY PROJEKT BUDOWY
DROGI DOCELOWEJ z ODWODNIENIEM i OŚWIETLENIEM przy ul. Zawalnej we Wrocławiu”.
W uzasadnieniu naszego wniosku uprzejmie informujemy, że obecna droga wykonana jest w formie
nasypu z ziemi, kamieni, cegieł i pozostałości budowlanych. W istniejącej drodze brak jest odwodnienia co
przy źle wyprofilowanej drodze po każdorazowym opadzie deszczu zalewane są nasze posesje błotem wraz z
resztkami olejów silnikowych i benzyny.
Pogorszenie warunków środowiska oraz stanu istniejącej drogi spowodowało prowadzenie robót
transportowych oraz parkowanie samochodów i koparek przy ul. Zawalnej dla potrzeb budowy ODRA
2000
Mając na uwadze bardzo duże uszkodzenia drogi wykonanej z nasypu, złe wyprofilowanie, oraz
brak odwodnienia, oświetlenia i remontów drogi od roku 1969 przedmiotowa DROGA DOCELOWA
powinna być wykona wraz z odwodnieniem i oświetleniem. 
Nowa DROGA DOCELOWA wraz z odwodnieniem i oświetleniem położona przy ul. Zawalnej we
Wrocławiu rozwiąże problem:
– złego wyprofilowania oraz braku odwodnienia drogi,
– ochrony środowiska związanego z ciągłym zalewaniem posesji błotem, resztkami olejów silnikowych oraz
benzyny,
– niszczenia elewacji budynków w tym piwnic, karbonatyzacji fundamentów powodujących ich uszkodzenie,
niszczenia dróg wewnątrz posesji,
– wykonania nowej inwestycji w tj ODRA 2000 z zaniedbanym otoczeniem infrastruktury drogowej
znajdującej się po drugiej stronie nowych wałów.
W załączeniu przekazujmy zdjęcia uszkodzeń obecnej drogi nasypowej przy ul. Zawalnej
spowodowane przejazdem i parkowaniem ciężkiego transportu samochodowego oraz koparek , które są
dla potrzeb inwestycji ODRA 2000.
",[]
810,wybrany,1801,"Boisko do siatkówki, tenisa ziemnego i badmintona w pobliżu ul. Pełczyńskiej (przedłużenie ul. Obornickiej) ",38.2215435869,5,500000,500000.0,1,sport,150 tys. zł - 500 tys. zł,Lipa Piotrowska,"Południowy fragment działki przy ul. Anyżowej pomiędzy ulicą Tymiankową, Cynamonową a Pełczyńską (przy rowie) bliżej ul. Pełczyńskiej obręb Lipa Piotrowska, arkusz mapy 5, działka nr 3/8)","Celem projektu jest stworzenie nowoczesnej przestrzeni zachęcającej do aktywności fizycznej na świeżym powietrzu. Projektowane boisko zlokalizowane jest, w centralnej części Lipy Piotrowskiej, przy mało ruchliwej ulicy, w bezpośrednim sąsiedztwie Rady Osiedla i świetlicy środowiskowej. Lokalizacja jest dogodna zarówno dla mieszkańców starej Lipy Piotrowskiej jak i nowych osiedli (już zamieszkanych jak i powstających) oraz osób korzystających z komunikacji miejskiej (bliskość przystanków linii autobusowej 105 i 305 dla mieszkańców Świniar i Widawy). Stworzenie infrastruktury sportowej umożliwi zatrudnienie trenera osiedlowego i zagospodarowanie w pożyteczny sposób czasu wolnego dzieci. Boisko będzie atrakcyjnym elementem przestrzeni publicznej, która umożliwiałaby integrację społeczności lokalnej i jej aktywizację. Umożliwi wszystkim chętnym aktywność na świeżym powietrzu w bezpiecznych warunkach.  Projekt zakłada wykonanie boiska w południowej części działki 3/8, które zajmie maksymalnie jedną trzecią działki. Proponuje się użycie modułowej nawierzchni polipropylenowej. Będzie to boisko pełnowymiarowe do gry w siatkówkę oraz w tenisa ziemnego, umożliwiające również grę z debla. Boisko z liniami o wymiarach 23,77 m na 10,97 m na potrzeby tenisa i 18 m na 9 m na potrzeby siatkówki, wymalowanymi w różnych kolorach; Wokół boiska właściwego znajdują się wybiegi boczne o szerokości 3,85 m oraz wybiegi za linią końcową o szerokości 6 m. Dookoła boiska znajduje się opaska z kostki brukowej o szerokości 0,5 m chroniąca nawierzchnię boiska przed zabrudzeniem. Słupki uniwersalne pozwolą na wymianę siatki do tenisa, siatkówki i badmintona. Proponuje się ogrodzenie terenu boiska i zastosowanie piłkochwytów o wysokości 6 metrów i gęstych oczkach.","[['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/810/bc4b9fb5dcaa30f1ea04e1b902b002df.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/810/487e26e52ae2d1a22acadb67122886e8.pdf', '\n\n\nZałącznik nr 2\n\n']]"
358,niewybrany,68,SKWER LEGIONÓW ,37.8235294118,0,1800000,1800000.0,1,zieleń/rekreacja,od 500 tys. zł,Przedmieście Świdnickie,"PL. LEGIONÓW/PIŁSUDSKIEGO/KOŚCIUSZKI
OBRĘB STARE MIASTO, AM-32, DZ. 29/1, 30/1","PROPONUJĘ PRZEPROJEKTOWANIE I ODŚWIEŻENIE TEGO ZANIEDBANEGO SKWERU, STWORZENIE MIEJSCA PRZYJAZNEGO ZARÓWNO DLA POBLISKICH MIESZKAŃCÓW, ALE PRZEDE WSZYSTKIM DLA MIESZKAŃCÓW WROCŁAWIA, ORAZ PRZYJEZDNYCH. JEST TO MIEJSCE PRZY JEDNYM Z WIĘKSZYCH WĘZŁÓW KOMUNIKACYJNYCH WE WROCŁAWIU I AŻ SIĘ PROSI ABY BYŁO NASZĄ WIZYTÓWKĄ. 
ZAŁOŻENIA - ZAGOSPODAROWANIE TERENU CAŁEGO SKWERU JAKO ZAŁOŻENIE PRZEDE WSZYSTKIM TERENÓW ZIELONYCH, WRAZ Z MAŁĄ ARCHITEKTURĄ, ŚCIEŻKAMI, ŁAWKAMI, KOSZAMI NA ŚMIECI ITP. ORAZ Z OŚWIETLENIEM TERENU ZARÓWNO LATARNIAMI JAK I OŚWIETLENIEM NISKIM, NADAJĄCYM KLIMAT I NIEPOWTARZALNY CHARAKTER TEGO MIEJSCA. STWORZENIE MIEJSCA DO REKREACJI I ODPOCZYNKU DLA SENIORÓW I DOROSŁYCH. WYDZIELENIE MIEJSCA RELAKSU I ZADUMY - STWORZONEGO Z ZIELENI I MAŁEJ ARCHITEKTURY BYĆ MOŻE Z MAŁYM AKCENTEM WODNYM. WYDZIELENIE PRZESTRZENI DO ODPOCZYNKU EKRANAMI AKUSTYCZNYMI ALE BEZ ZAMKNIĘCIA NA ULICĘ – SKWER POWINIEN ZACHĘCAĆ DO ODWIEDZIN. NADANIE CHARAKTERU BARDZIEJ PRESTIŻOWEGO W ODBIORZE TEGO SKWERU.
",[]
349,niewybrany,14,Ułożenie nawierzchni asfaltowej ,40.0714285714,0,700000,700000.0,1,drogowe,od 500 tys. zł,Jerzmanowo - Jarnołtów -Strachowice - Osiniec,Ul Chodkiewicza działka 15 AM-3 obręb Jerzmanowo,Jest to jedyna drogo dojazdowa o długości ok 250m do osiedla wąska bez możliwości wyminięcia się dwóch samochodów.,[]
572,niewybrany,2372,Zielone parkingi na Gaju ,47.2875210793,-2,1800000,450000.0,4,drogowe,od 500 tys. zł,Gaj,"ul. Krynicka: 6/16 AM-4, 7/6 AM-4, 6/15 AM-4, 2/75 AM-10, 2/81 AM-10; ul. Orzechowa: 1/22 AM-10, 1/24 AM-10, 55/2 AM-8, 1/14 AM-10, 1/26 AM-10, 1/15 AM-10; ul. Kukuczki: 149/10 AM-15, 31 AM-15","Brak miejsc postojowych, rozjeżdżone trawniki, klepiska, błoto i rozlewiska to często spotykane obrazy na osiedlu Gaj. Należy to zmienić. Projekt zakłada budowę miejsc postojowych skomponowanych z zielenią, w czterech lokalizacjach na osiedlu Gaj, by uczynić tę przestrzeń publiczną funkcjonalną, bezpieczną, estetyczną i przyjazną człowiekowi. Zakres wszystkich 4 części projektu przedstawiają załączniki.
01.	Miejsca postojowe przy ul. Krynickiej 34-50 to łącznie 71 miejsc postojowych oraz zielona przestrzeń z drzewami, krzewami, ozdobną pergolą i ławkami. Przewidziano odwodnienie terenu za pomocą kanalizacji deszczowej. Wartość: 620850 zł.
02.	Miejsca postojowe przy ul. Krynickiej 62-86 to łącznie 62 miejsca postojowe usytuowane między już istniejącymi miejscami wzdłuż budynku oraz na placykach przy drogach dojazdowych, które rozjeżdżone przez samochody przestały pełnić funkcję trawników. Przewidziano lokalne odtworzenie zniszczonej zieleni. Wartość: 303300 zł.
03.	Miejsca postojowe przy Szkole Podstawowej nr 90 i Gimnazjum nr 25 zostały wkomponowane między chodnikiem przy szkole a ulicą Orzechową. Drzewa, krzewy, ławki oraz dodatkowe latarnie uczynią parking przyjaznym i bezpiecznym dla dzieci. Dowożenie i odbieranie dzieci ze szkoły stanie się łatwiejsze. Projekt przewiduje budowę łącznie 55 miejsc postojowych. Wartość: 406400 zł.
04.	Miejsca postojowe przy ul. Kukuczki 26, 26a, 26b, 26c służyć będą mieszkańcom budynków przy ul. Kukuczki, Uznańskiego i Strońskiej – łącznie 58 miejsc. Przewidziano postawienie latarni oświetlających teren i odwodnienie za pomocą kanalizacji deszczowej. Projekt nawiązuje do wykonanego ciągu komunikacji pieszej i rowerowej od strony ul. Pawiej. Wartość:  477600 zł.  ","[['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/572/aea5b14493fa7b5212284091bedd73fc.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/572/8fad4a4677c1b0bcba0481426802a5fa.pdf', '\n\n\nZałącznik nr 2\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/572/a778758d97ca2567c215b8ce3ccaea20.pdf', '\n\n\nZałącznik nr 3\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/572/586fc95983006bdde1c48ce59700a51c.pdf', '\n\n\nZałącznik nr 4\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/572/7abbe721107ef3021aa12dbd86a3bf27.pdf', '\n\n\nZałącznik nr 5\n\n']]"
397,wycofany,,"""Ogród z Fantazją"" -nowy plac zabaw przy Przedszkolu nr 28 Fantazja  ",0,0,495000,495000.0,1,edukacja,150 tys. zł - 500 tys. zł,Borek,"Ul. Orla 5/7, działka nr 64, AM 6, obręb Borek","Projekt obejmuje zaaranżowanie fragmentu rozległego ogrodu przynależnego do Przedszkola ""Fantazja"" na potrzeby nowoczesnego placu zabaw dla dzieci ""Ogród z Fantazją"".
Obecnie teren przeznaczony na plac zabaw jest obsadzony trawą i krzewami. 
Jego lokalizacja w strukturze przedszkola pozwala na wydzielenie  i udostępnienie go mieszkańcom bez szkody dla funkcjonowania placówki. 
Zakłada się montaż ogrodzenia oddzielającego plac zabaw od pozostałej części ogrodu przedszkolnego z furtką i kontrolą dostępu (ok. 24mb),  oraz zamontowanie dodatkowej furtki od strony sąsiednich bloków mieszkalnych , aby umożliwić dostęp do placu okolicznym mieszkańcom.
Planowana powierzchnia placu zabaw to ok. 470m2. 
Obecny plan zabaw przedszkola wyposażony jest w wysłużone urządzenia zabawowe, z których jedynie kilka nadaje się do dalszego użytkowania na nowym placu zabaw.
Teren obecnego placu zabaw otrzyma inną funkcję w ramach funkcjonowania placówki, więc zmiana lokalizacji placu jest tak, czy inaczej konieczna, a to pozwala na stworzenie zupełnie nowej, fantastycznej przestrzeni dla najmłodszych. 
Wszystkie urządzenia otoczone będą bezpieczną elastyczną nawierzchnią  na bazie granulatów EPDM, na pozostałej części terenu zachowany zostanie trawnik i niska zieleń.  Ogród podzielono na ""strefę edukacyjno-integracyjną"" z tablicami do zabaw wspólnych, ""strefę wyobraźni"", gdzie dzieci mogą wcielić się w dowolną postać i przeżyć ciekawą przygodę , oraz ""strefę wirowania"" wyposażoną w huśtawki, bujaki i karuzele, dostarczające maluchom mnóstwa niezapomnianych wrażeń.  Po wyczerpującej zabawie dzieci będą mogły nabrać sił, wypoczywając na kolorowych ławeczkach, lub podyskutować w większym gronie przy stolikach  w cieniu drzew. Liczymy na Wasze głosy :) !","[['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/397/76bbfaaa1f4582df9650ca4bb52209ca.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://www.wroclaw.pl/budzet-obywatelski-wroclaw/files/attachments_2015/397/0111632fc60e2d1e7659be13b3949009.pdf', '\n\n\nZałącznik nr 2\n\n']]"
356,wycofany,,PLAC AMERYKAŃSKI ,0,0,2000000,2000000.0,1,zieleń/rekreacja,od 500 tys. zł,Przedmieście Oławskie,"SKRZYŻOWANIE ULIC GEN. KAZIMIERZA PUŁASKIEGO I TADEUSZA KOŚCIUSZKI
OBRĘB .POŁUDNIE, AM-8, DZ.NR 90/8, 71, część 64/15, część 64/16
AM- 9, DZ.NR 65/71, 70","WIELE MÓWI SIĘ O REWITALIZACJI PRZEDMIEŚCIA OŁAWSKIEGO, A TO SKRZYŻOWANIE POWINNO BYĆ JEDNĄ Z WIZYTÓWEK ZARÓWNO DZIELNICY JAK I WROCŁAWIA. TOTALNY NIEŁAD I ZANIEDBANIE PRZY WYREMONTOWANEJ NIEDAWNO ULICY - TAKI JEST ODBIÓR TEGO PLACU W TEJ CHWILI. UWAŻAM, ŻE POWINNO SIĘ NADAĆ MU SPÓJNY I JEDNOLITY CHARAKTER ABY Z JEDNEJ STRONY CIESZYŁ OKO PRZEJEŻDŻAJĄCYCH, ALE ABY BYŁ TAKŻE OAZĄ SPOKOJU DLA PRZECHODNIÓW. PROPONUJĘ POMYŚLENIE O TYM SKRZYŻOWANIU CAŁOŚCIOWO I WPROWADZENIE ELEMENTU, BĄDŹ KILKU ELEMENTÓW ŁĄCZĄCYCH JE WIZUALNIE W JEDEN PLAC.
ZAŁOŻENIA - ZAGOSPODAROWANIE TERENU CAŁEGO SKRZYŻOWANIA JAKO ZAŁOŻENIE PRZEDE WSZYSTKIM TERENÓW Z DUŻĄ ILOŚCIĄ ZIELENI, KTÓREJ TAK BRAKUJE NA PRZEDMIEŚCIU OŁAWSKIM, WRAZ Z MAŁĄ ARCHITEKTURĄ, ŚCIEŻKAMI, ŁAWKAMI, KOSZAMI NA ŚMIECI ITP. ORAZ Z OŚWIETLENIEM TERENU ZARÓWNO LATARNIAMI JAK I OŚWIETLENIEM NISKIM, NADAJĄCYM KLIMAT I CHARAKTER POSZCZEGÓLNYM FUNKCJOM. STWORZENIE MIEJSCA DO REKREACJI I ODPOCZYNKU DLA SENIORÓW I DOROSŁYCH. ZAPROJEKTOWANIE MIEJSCA SPOTKAŃ DLA MŁODZIEŻY. WYDZIELENIE MIEJSCA RELAKSU I ZADUMY - STWORZONEGO Z ZIELENI I MAŁEJ ARCHITEKTURY BYĆ MOŻE Z AKCENTEM WODNYM ( JEŚLI FUNDUSZE POZWOLĄ ). WYDZIELENIE PRZESTRZENI DO ODPOCZYNKU EKRANAMI AKUSTYCZNYMI. STWORZENIE FORM PODKREŚLAJĄCYCH CAŁOŚĆ SKRZYŻOWANIA ZARÓWNO W POSADZCE JAK I POPRZEZ PRZESTRZENNE FORMY ZIELENI I MAŁEJ ARCHITEKTURY. NADANIE CHARAKTERU BARDZIEJ PRESTIŻOWEGO W ODBIORZE TEGO PLACU.",[]
774,wycofany,,Na ratunek basenOFFi ,0,0,2000000,2000000.0,1,zieleń/rekreacja,od 500 tys. zł,Brochów,"Teren nieczynnego basenu na Brochowie przy ul. Polnej,  AR 22, działka nr 41/3","Świadom ograniczeń stawianym przez próg finansowy budżetu, akcentując potrzebę wskrzeszenia basenu w miejscu jego wcześniejszej lokalizacji, wnioskuję o uczynienie pierwszego kroku polegającego na jeszcze mocniejszej dewastacji zdegradowanego obiektu...
Skoro miasto nie jest w stanie zrealizować obiektu basenowego bez partycypacji inwestora zewnętrznego/prywatnego, można przystosować istniejącą nieckę do treningów płetwonurków, którzy praktycznie nie mają gdzie doskonalić swych umiejętności na terenie miasta w warunkach naturalnych.
Obecnie nieckę zamieszkują gady i płazy z trudem przemieszczające się między oponami, betonowym gruzem oraz śmieciami, a skoro basen nie może, być może one mogłyby stanowić atrakcję dla następcuUFF Jacques\\\\\\\'a Cousteau...",[]
