id,status,votes,title,avg_age,polarity,budget,category,level,district,detailed_localization,description,attachments
492,niewybrany,395,Nauka przez zabawę - Przedszkole nr 4 dla Dzieci i Rodziców z okolic ulicy Słowiczej ,40.6759493671,2,250000,edukacja,do 250 000 zł,"Gajowice, Powstańców Śląskich, Borek",Ogrodzenie wzdłuż ul. Słowiczej plus pozostałe części ogrodzenia dostępne mieszkańcom okolic i przechodniom.,"Celem projektu jest wymiana ogrodzenia zewnętrznego oraz zamontowania w nim paneli edukujących i zachęcających do zabawy małe dzieci oraz ich Rodziców często przechodzących wzdłuż ogrodzenia przedszkola nr 4 przy ul. Słowiczej. Panele edukacyjne mają wspomóc zainteresowanie najmłodszych plastyką, matematyką oraz przyrodą.

Panele edukacyjne będą składać się z:
- części typu układanka (np. proste rysunki lub grafiki na zasadzie puzzli) 
- części do rysowania kredą 
- części typu kółko i krzyżyk
- części z fraszkami (np. J Kochanowski) lub krótkimi bajkami Ezopa, które nawiązują zarówno do nazwy ulicy, jak i charakteru architektury zieleni.

Wymiana ogrodzenia przedszkola Nr 4, przy ul. Słowiczej znacząco zwiększy estetykę okolicy oraz będzie stanowić ciekawą propozycję dla mieszkańców i ich rodzin w zakresie aktywnej formy spędzenia chwili wolnego czasu poprzez naukę i poszerzanie horyzontów przez zabawę z dziećmi.

",[]
734,niewybrany,17,Progi zwalniające na ul Tybetańskiej ,46.2941176471,0,250000,drogowe,do 250 000 zł,"Przedmieście Oławskie, Księże, Brochów, Bieńkowice",brak.,"Ul. Tybetańska to wąska osiedlowa uliczka bez chodników i poboczy. Z bram wychodzi się tutaj prosto pod koła aut jeżdżących zdecydowanie zbyt szybko. Projekt zakłada budowę progów zwalniających w celu zwiększenia bezpieczeństwa mieszkańców oraz zniechęcenia kierowców, którzy używają tej uliczki jako drogi tranzytowej.",[]
314,wycofany,,Promenadą przez Krzyki Etap I ,0,1,500000,rewitalizacja,do 750 000 zł,"Gajowice, Powstańców Śląskich, Borek",brak.,"Projekt ma za zadanie przywrócenie historycznego założenia urbanistycznego poprzez rewaloryzację promenady ciągnącej się od skrzyżowania ulic Gajowickiej i Grabiszyńskiej,  zwieńczonej zabytkową wieżą ciśnień przy Alei Wiśniowej.
Proponujemy przywrócenie walorów estetycznych pierwotnego założenia zielonej arterii w połączeniu z potrzebami komunikacyjnymi tej części dzielnicy. Wytyczona w ostatnich latach XIX wieku ulica jest przykładem pięknej osi widokowej z królująca wieżą ciśnień z 1904 roku, pomnikiem dobrego miejskiego planowania, dodatkowo zielonym korytarzem okolicy. Przy użyciu niewielu środków możemy przywrócić blask dawnego deptaku jednocześnie porządkując i usprawniając ruch pieszy, samochodowy a także rowerowy na tym odcinku. Wykonane prace mogłyby w przyszłości stanowić początek dalszych zmian w kierunku ulicy Grabiszyńskiej.  Podstawowym zadaniem projektu jest poprawa estetyki okolicy, jakości życia mieszkańców oraz połączenie wygodnym ciągiem pieszo – rowerowym całego odcinka zielonej arterii od zabytków w postaci wieży ciśnień i Szpitala Żydowskiego mieszczącego dziś Szpital Kolejowy, dalej Parafii rzymskokatolickiej pw. Św. Augustyna, kamienic Hansa Poelziga do ronda Powstańców Śląskich.","[['../wbo2016/files/attachments_2016/314/e82be42d6df0be7faf58cc9702bf59d7.PDF', '\n\n\nZałącznik nr 1(    9.62 MB)\n\n']]"
723,niewybrany,76,Drabinki do ćwiczeń zamiast opuszczonego basenu strażackiego przy ul. Górniczej ,36.5394736842,2,400000,zieleń/rekreacja,do 750 000 zł,"Pilczyce-Kozanów-Popowice Płn., Gądów-Popowice Płd., Szczepin",Okolice skrzyżowanie ul. Górniczej i Rękodzielniczej,"Projekt obejmuje likwidację starego basenu strażackiego przy ul. Górniczej (usunięcie betonowych ścian, zasypanie niecki), montaż drabinek do ćwiczeń (przykładowy park do Street Workoutu w załączniku) oraz urządzenie miejsca do odpoczynku (montaż ławek). W podobny sposób zagospodarowano Wzgórze Andersa we Wrocławiu. Tego typu obiekt dobrze wpisze się w układ urbanistyczny osiedla Pilczyce, którego oś jest przeznaczona w studium na tereny zielone i rekreacyjne.","[['files/attachments_2016/723/16d69ed41a7ec30826904721a4aeed9f.jpg', '\n\n\n\n\n']]"
764,wybrany,7291,Oświetlenie Parku Grabiszyńskiego (Alei Romera oraz ścieżek do Cmentarza Grabiszyńskiego i ul. Racławickiej wzdłuż polan) ,39.7143053079,2,1000000,inne,do 1 000 000 zł,projekt ogólnomiejski,brak.,"Taki mamy klimat... że przez pół roku późnym popołudniem jest ciemno.  Wiele osób z tego powodu rezygnuje z rekreacji na świeżym powietrzu. Oświetlenie Parku Grabiszyńskiego, choćby do godziny 22:00, umożliwi jego lepsze wykorzystanie. Spacerowicze, biegacze, ""psiarze"", matki oraz ojcowie z dziećmi, chętni do skrócenia sobie drogi przez park, będą zdrowsi i bezpieczniejsi. Proponuję oświecenie ;)",[]
599,wycofany,,Usprawnienie ruchu drogowego w godzinach szczytu na rondach przy stadionie miejskim ,0,1,14999,drogowe,do 250 000 zł,"Leśnica, Maślice, Pracze Odrzańskie",brak.,"Projekt i jego realizacją byłby bardzo proste polegają na ustawieniu znaków pionowych oraz na narysowaniu znaków poziomych dzięki którym kierowcy z większą sprawnością poruszaliby się po rondzie.

Ci poruszający się ul. Królewiecką w stronę centrum nie blokowali by pasu do skrętu w pracy etc.
",[]
57,wycofany,,Nadwodna galeria Wyspiańskiego ,0,5,150000,inne,do 250 000 zł,"Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie",Wybrzeże Wyspiańskiego,"Wybrzeże Wyspiańskiego to jedna z atrakcyjnych tras spacerowych na terenie Wrocławia. Łącząca jakże ważne punkty na mapie naszego miasta- Most Grunwaldzki z Mostem Zwierzynieckim. Dodatkowo jest częścią szlaku wodnego, na którym odbywają się rejsy turystyczne. Zatem powinniśmy zadbać o ten teren, tak aby dodatkowo uatrakcyjnić go  podziwiający ze strony Odry jak i Wybrzeża.
Projekt, który chciałabym zaproponować można potraktować elastycznie i dostosować do możliwości wykonawczych.
Odnosząc się do nazwy ulicy proponuję, aby odmalować całość fasady na jednolity kolor i umieścić na nim reprodukcję obrazów Stanisława Wyspiańskiego. Przy założeniu odpowiedniego oświetlenia w nocy powinny odbijać się w tafli wody. 
Prace mogłyby być wykonane przez wrocławskiego artystę lub też zaangażować w projekt studentów wrocławskiego ASP.
Jaki pozytywny wpływ będzie miało wykonanie projektu?
- Odnowienie fasady wałów przy Wybrzeżu Wyspiańskiego, które w obecnym stanie nie wyglądają najlepiej.
- Staną się atrakcją podczas rejsów
- Staną się atrakcją podczas spacerów (odbicie w wodzie)
- Zaznajomienie się przez podziwiających z twórczością Stanisława Wyspiańskiego
- Wykorzystanie potencjału wrocławskich artystów
","[['files/attachments_2016/57/ae426ec3d7b47310f44d9f4ef98ab045.jpg', '\n\n\n\n\n'], ['files/attachments_2016/57/bc6b061b54e812b7d291c38c625279bf.jpg', '\n\n\n\n\n'], ['files/attachments_2016/57/4536de0618b569c23bd5a68931780fc6.jpg', '\n\n\n\n\n']]"
109,wybrany,767,Rewitalizacja terenu dawnego kąpieliska Na Niskich Łąkach - kontynuacja. Budowa brakujących odcinków trasy pieszo - rowerowej od Żabiej Ścieżki do Krzywej Grobli. ,39.8109517601,1,250000,zieleń/rekreacja,do 250 000 zł,"Przedmieście Oławskie, Księże, Brochów, Bieńkowice",brak.,"Rewitalizację tego terenu rozpoczęła akceptacja wniosku nr 240 w ramach WBO 2015.  Na wiosnę ruszą prace przy porządkowaniu zieleni, placów postojowych, ścieżek i nabrzeża. Zakres tych prac będzie ograniczony niezbyt wysokim budżetem 150.000 złotych.

Warto ten projekt kontynuować i stosunkowo niewielkim nakładem uzyskać imponujący efekt w postaci szlaku pieszo - rowerowego od Żabiej Ścieżki do Krzywej Grobli,  a dalej albo przez ul. Rakowiecką do ZOO, Biskupina, Wyspy Opatowickiej albo do Kładki Siedleckiej i południowym brzegiem Oławy (ul. Młoda) do mostu Rakowieckiego zamykając pętlę. Atrakcyjność projektu polega na tym, że duża część tej ścieżki już istnieje, w sumie trzeba zbudować kilkaset metrów żwirowej ścieżki i naprawić istniejące odcinki. Szlak prowadzi wśród bujnej zieleni w kontakcie  z naturalną przyrodą, a to wszystko niemal w centrum miasta. Te tereny trzeba koniecznie otworzyć dla mieszkańców Wrocławia!",[]
589,niewybrany,273,Zielone Podwórko  Ołbin – zasadzenie zieleni oraz montaż oświetlenia na podwórku Barlickiego – Kluczborska - Stein – Nowowiejska.  ,44.63003663,-3,250000,rewitalizacja,do 250 000 zł,"Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie",Podwórko w obrębie ulic Barlickiego - Kluczborska - Stein - Nowowiejska,"Projekt ma na celu aranżację zaniedbanego wnętrza podwórka poprzez odpowiednie kształtowanie zieleni. Wykonanie nasadzeń drzew, krzewów, żywopłotów, trawników czy roślin pnących, które w sposób naturalny wyznaczą strefy podwórka, a także zamaskują miejsca nieestetyczne, takie jak kontenery na śmieci. Dodatkowo na terenie podwórka zostanie zamontowane oświetlenie, które zwiększy poczucie bezpieczeństwa mieszkańców. 
Obecnie podwórko pokrywa nierówne klepisko, ze skrawkami podeptanych trawników. Szpecą je zdewastowany plac zabaw i nieuporządkowane kontenery na śmieci. Podwórko usytuowane jest w dzielnicy Ołbin w bezpośrednim sąsiedztwie ruchliwej ul. Nowowiejskiej, mniejszych, brukowanych ulic, będących „betonowymi pustyniami” oraz kamienic, w których znaczna część mieszkań ogrzewana jest piecami węglowymi.
Zasadzona na podwórku zieleń da ogromną ilość tlenu, będzie tłumić hałas, sprawi, że mieszkańcy będą mieć po prostu lepszy widok z okna, który z pewnością wpłynie na ich lepsze samopoczucie. 

W ramach zielonej aranżacji podwórka planowane są: 
- utworzenie pasów zieleni, które odseparują budynki  (zwłaszcza mieszkania na parterze) od zaparkowanych na podwórku samochodów,
- utworzenie zielonych skwerków w przestrzeni podwórka, 
- uporządkowanie miejsc parkingowych poprzez nasadzenie żywopłotów i drzewek,
- budowa altany maskującej kontenery na śmieci, obsadzonej zielonymi pnączami,
- montaż latarni oświetlających teren,
- obsadzenie dachów blaszanych garaży zielonymi pnączami,
- montaż stojaków na rowery,

Inspiracją do powstania projektu były udane inicjatywy tworzenia zielonych enklaw w przestrzeni miejskiej – zielone  podwórka Szczecina czy berlińskiej dzielnicy Kreuzberg. ",[]
522,niewybrany,74,"Ustronne Ustronie - Rewitalizacja zaplecza ciągu kamienic przy ulicy Jedności Narodowej 170 - 184, wzdłuż ulicy Ustronie. ",35.4459459459,-8,750000,rewitalizacja,do 750 000 zł,"Nadodrze, Ołbin, Stare Miasto, Plac Grunwaldzki, Przedmieście Świdnickie","Obszar wzdłuż ulicy Ustronie, po jej obu stronach.","Teren przy ul. Ustronie stanowi zaplecze (podwórko) dla ciągu kamienic z ulicy Jedności Narodowej 170-184. Jest wyjątkowo zaniedbany; nawierzchnia jest zniszczona, nie ma praktycznie żadnej zieleni ozdobnej, betonowe ścieżki do wejść do budynków są kompletnie zdegradowane. Całość dopełnia niebywała ilość pojemników na śmieci-nie osłoniętych, rozjeżdżających się po całym terenie. Fakt zaniedbanego zaplecza wynika częściowo z tego, że nie jest to typowe zaplecze dla kamienic-jakim z reguły są wnętrza podwórzowe, tylko jest to teren otwarty, przez który biegnie ulica (Ustronie). Stąd też notoryczne podrzucanie śmieci przez kierowców na podwrocławskich rejestracjach w drodze do pracy (stale przepełnione pojemniki na śmieci), oraz jeden wielki, dziki plac parkingowy. Na domiar złego, przez ostatni rok mieszkańcy zostali obciążeni ponad półrocznym remontem kanalizacji (ul. Rychtalska, skrzyżowanie ulic: Rychtalska/ Ustronie), co powodowało stałe utrudnienie w ruchu przez zawężoną ulicę i skrzyżowane, ciągły odór z kanalizacji, oraz pracujące pod oknami 24 h/dobę pompy spalinowe. Oprócz tego nadal trwa budowa parkingu i drogi dojazdowej do hali GRAFIT z ul. Rychtalskiej, co powoduje następne stałe utrudnienie w ruchu w obrębie w/w skrzyżowania, przeniesienie kubłów na śmieci budynków przy Rychtalskiej i J.N. 162-168 i dostawienie ich przy i tak dużej ilości kubłów na ul. Ustronie(!), oraz przede wszystkim parkowanie wszystkich (!) samochodów mieszkańców w/w kamienic - na rzeczonym zapleczu przy ul. Ustronie. Gehennie nie widać końca, a to wszystko powoduje, że teren jest coraz bardziej degradowany. Beneficjentami bezpośrednimi projektu byliby mieszkańcy kamienic ul. J. N. 170-184, oraz Ustronie 11, 5, pośrednimi: idący ciągiem od mostu Warszawskiego do Wzgórza Słowiańskiego. ","[['../wbo2016/files/attachments_2016/522/2ad197c45e96d2730365dbd1b9abdbc6.pdf', '\n\n\nFormularz poprawkowy(    191.03 KB)\n\n'], ['../wbo2016/files/attachments_2016/522/e5c0eaf877266d3ab8ef870094b4886a.odt', '\n\n\nFormularz poprawkowy(    27.21 KB)\n\n']]"
